Elapsed Time since 2021/10/05 14:25:07 -0500;recv_yaw;thm_ab;ab_flow_meter;engthr;ldrair;rad
0.299074649810791;0;22.88807;0.021135;975;False;0.0
0.299074649810791;0;22.88807;0.025362;975;False;0.0
0.4059720039367676;0;22.88807;-0.038044;975;False;0.0
0.5614445209503174;0;22.88807;0.025362;975;False;0.0
0.5614445209503174;0;22.88807;0.021135;975;False;0.0
0.6402266025543213;0;22.88807;0.025362;975;False;0.0
0.7487311363220215;0;22.88807;0.025362;975;False;0.0
0.8587560653686523;0;22.86619;0.042271;975;False;0.0
0.9542412757873536;0;22.86619;0.025362;975;False;0.0
1.0639772415161133;0;22.86619;0.021135;975;False;0.0
1.1734671592712402;0;22.86619;0.016908;975;False;0.0
1.282496213912964;0;22.86619;0.059179;975;False;0.0
1.392534255981445;0;22.86619;0.016908;975;False;0.0
1.5030875205993652;0;22.86619;0.025362;975;False;0.0
1.6125786304473877;0;22.86619;0.016908;975;False;0.0
1.7232863903045654;0;22.90556;0.025362;975;False;0.0
1.8326473236083984;0;22.90556;0.016908;975;False;0.0
1.942695379257202;0;22.90556;0.016908;975;False;0.0
2.050042152404785;0;22.90556;0.016908;975;False;0.0
2.1603732109069824;0;22.90556;0.02959;975;False;0.0
2.2705581188201904;0;22.90556;0.021135;975;False;0.0
2.3795483112335205;0;22.90556;0.008454;975;False;0.0
2.490147829055786;0;22.90556;0.021135;975;False;0.0
2.5991768836975098;0;22.90556;0.012681;975;False;0.0
2.7082455158233643;0;22.91541;0.025362;975;False;0.0
2.8179898262023926;0;22.91541;0.0;975;False;0.0
2.926698446273804;0;22.91541;0.021135;975;False;0.0
3.037367820739746;0;22.91541;0.02959;975;False;0.0
3.148486852645874;0;22.91541;0.02959;975;False;0.0
3.259143590927124;0;22.91541;-0.008454;975;False;0.0
3.3699018955230717;0;22.91541;0.021135;975;False;0.0
3.479416847229004;0;22.91541;0.016908;975;False;0.0
3.5897979736328125;0;22.91541;0.016908;975;False;0.0
3.6975929737091056;0;22.91541;0.0;975;False;0.0
3.8081231117248535;0;22.91541;0.025362;975;False;0.0
3.91779899597168;0;22.85047;0.02959;975;False;0.0
4.0281524658203125;0;22.85047;0.012681;975;False;0.0
4.138912916183472;0;22.85047;0.0;975;False;0.0
4.2478187084198;0;22.85047;0.021135;975;False;0.0
4.35756254196167;0;22.85047;0.02959;975;False;0.0
4.4671630859375;0;22.85047;0.025362;975;False;0.0
4.577666997909546;0;22.85047;0.02959;975;False;0.0
4.687682390213013;0;22.85047;0.012681;975;False;0.0
4.797599792480469;0;22.85047;-0.033817;975;False;0.0
4.909189939498901;0;22.90121;0.02959;975;False;0.0
5.019934177398682;0;22.90121;0.016908;975;False;0.0
5.129976511001587;0;22.90121;0.016908;975;False;0.0
5.240785121917725;0;22.90121;0.021135;975;False;0.0
5.350614309310913;0;22.90121;0.012681;975;False;0.0
5.462350606918335;0;22.90121;0.046498;975;False;0.0
5.558742046356201;0;22.90121;0.012681;975;False;0.0
5.669819593429565;0;22.90121;-0.042271;975;False;0.0
5.78038477897644;0;22.8925;0.025362;975;False;0.0
5.8888022899627686;0;22.8925;0.016908;975;False;0.0
5.997950315475464;0;22.8925;0.025362;975;False;0.0
6.107033491134644;0;22.8925;0.025362;975;False;0.0
6.217029333114624;0;22.8925;0.016908;975;False;0.0
6.327946901321411;0;22.8925;0.016908;975;False;0.0
6.43912410736084;0;22.8925;0.021135;975;False;0.0
6.547264099121094;0;22.8925;0.012681;975;False;0.0
6.656397342681885;0;22.8925;0.02959;975;False;0.0
6.764844179153442;0;22.8925;0.016908;975;False;0.0
6.874571323394775;0;22.8925;0.004227;975;False;0.0
6.985098838806152;0;22.84951;-0.012681;975;False;0.0
7.095562934875488;0;22.84951;0.025362;975;False;0.0
7.203665971755981;0;22.84951;0.008454;975;False;0.0
7.312318563461304;0;22.84951;0.025362;975;False;0.0
7.420932769775391;0;22.84951;0.021135;975;False;0.0
7.530282020568848;0;22.84951;0.021135;975;False;0.0
7.639908313751221;0;22.84951;0.021135;975;False;0.0
7.747803449630737;0;22.84951;0.025362;975;False;0.0
7.857628345489502;0;22.84951;0.016908;975;False;0.0
7.9674084186553955;0;22.90365;0.02959;975;False;0.0
8.077217102050781;0;22.90365;0.025362;975;False;0.0
8.187434434890747;0;22.90365;0.025362;975;False;0.0
8.298138618469238;0;22.90365;0.033817;975;False;0.0
8.406847715377808;0;22.90365;0.021135;975;False;0.0
8.518712997436523;0;22.90365;0.02959;975;False;0.0
8.628044605255127;0;22.90365;0.016908;975;False;0.0
8.738789796829224;0;22.90365;0.021135;975;False;0.0
8.848449468612671;0;22.91198;0.02959;975;False;0.0
8.95933198928833;0;22.91198;0.008454;975;False;0.0
9.07076358795166;0;22.91198;0.0;975;False;0.0
9.180088996887209;0;22.91198;0.02959;975;False;0.0
9.291517734527588;0;22.91198;0.021135;975;False;0.0
9.401805400848389;0;22.91198;0.02959;975;False;0.0
9.512222290039062;0;22.91198;0.021135;975;False;0.0
9.622792959213257;0;22.91198;0.02959;975;False;0.0
9.731813192367554;0;22.91198;0.016908;975;False;0.0
9.842651844024658;0;22.91198;0.012681;975;False;0.0
9.95186161994934;0;22.91198;0.033817;975;False;0.0
10.061718463897703;0;22.85872;0.02959;975;False;0.0
10.170510530471802;0;22.85872;0.021135;975;False;0.0
10.28032636642456;0;22.85872;0.012681;975;False;0.0
10.389896631240845;0;22.85872;0.046498;975;False;0.0
10.499455213546751;0;22.85872;0.025362;975;False;0.0
